species,common_name,family,n_population,neoplasia_necropsy,neoplasia_prevalence,benign_count,benign_prevalence,n_observation,trait,body_mass,mass_g,log_body_mass,mature_f,mature_m,mature_age,MLS.anage,LQ,tax_id,trait_ci_lb,trait_ci_ub,trait_ci
Alouatta_caraya,Black howler,Atelidae,32,4,0.125,3,0.09375,1,0.03125,5.4625,5462.5,3.73739144997848,3.2,2.54,3.2,32.4,0.984631545411751,9502,6.36225594238962e-05,0.115852039252108,[0-0.12]
Ateles_geoffroyi,Black-handed spider monkey,Atelidae,43,13,0.302325581395349,5,0.116279069767442,8,0.186046511627907,7.2675,7267.5,3.86138504044247,5,5,5,47.1,1.35617225068527,9509,0.0844083412845063,0.309902097775075,[0.08-0.31]
Callimico_goeldii,Goeldi's monkey,Cebidae,69,15,0.217391304347826,8,0.115942028985507,7,0.101449275362319,0.555,555,2.74429298312268,1,1.08,1.08,22.2,1.03938709413631,9495,0.0408208811701564,0.180074302126955,[0.04-0.18]
Callithrix_geoffroyi,White-fronted marmoset,Cebidae,31,3,0.0967741935483871,2,0.0645161290322581,1,0.032258064516129,0.342,342,2.53402610605613,1.31,1.05,1.31,17.6,0.902978589935649,52231,6.62184367684061e-05,0.119386818330661,[0-0.12]
Callithrix_jacchus,Common marmoset,Cebidae,41,1,0.024390243902439,0,0,1,0.024390243902439,0.2552,255.2,2.40688067004912,1.31,1.05,1.31,22.8,1.23631779319117,9483,4.69527767274654e-05,0.0914709354519275,[0-0.09]
Cebuella_pygmaea,Pygmy marmoset,Cebidae,41,4,0.0975609756097561,2,0.0487804878048781,2,0.0487804878048781,0.124,124,2.09342168516224,1.87,1.75,1.87,18.6,1.15598437798723,9493,0.0040272340141369,0.130166654933487,[0-0.13]
Cercopithecus_neglectus,De Brazza's monkey,Cercopithecidae,28,2,0.0714285714285714,1,0.0357142857142857,1,0.0357142857142857,5.945,5945,3.77415185895471,4.41,7,7,30.8,0.921152922887957,36227,7.54165716449291e-05,0.131413591050072,[0-0.13]
Colobus_guereza,Colobus monkey,Cercopithecidae,97,10,0.103092783505155,6,0.0618556701030928,4,0.0412371134020619,9.95,9950,3.99782308074573,4,6.01,6.01,35,0.949675428550266,33548,0.0101976060206292,0.0875220898902035,[0.01-0.09]
Eulemur_macaco,Black lemur,Lemuridae,30,9,0.3,3,0.1,6,0.2,2.467,2467,3.39216914948974,1.48,0.73,1.48,37.5,1.32436293552723,30602,0.0779938590754792,0.35204689394332,[0.08-0.35]
Galago_moholi,Moholi bushbaby,Galagidae,32,3,0.09375,1,0.03125,2,0.0625,0.1692,169.2,2.228400358703,0.4,1.02,1.02,16.6,0.972828173770322,30609,0.00532221472983759,0.164579053613524,[0.01-0.16]
Galago_senegalensis,Senegal bushbaby,Galagidae,66,1,0.0151515151515152,0,0,1,0.0151515151515152,0.1922,192.2,2.28375338333253,0.66,0.82,0.82,17.1,0.978278345245565,9465,2.70561599553178e-05,0.0577160047524064,[0-0.06]
Gorilla_gorilla,Gorilla,Hominidae,67,14,0.208955223880597,12,0.17910447761194,2,0.0298507462686567,139.842,139842,5.14563762655143,7.75,11,9.375,60.1,0.989565805738832,9593,0.00236204082364073,0.0811287609360166,[0-0.08]
Hylobates_lar,Lar gibbon,Hylobatidae,44,7,0.159090909090909,0,0,7,0.159090909090909,6.81,6810,3.83314711191279,7,5,7,56,1.63237126876356,9580,0.0662158815925952,0.275666772011294,[0.07-0.28]
Lemur_catta,Ring-tailed lemur,Lemuridae,244,38,0.155737704918033,6,0.0245901639344262,32,0.131147540983607,2.555,2555,3.40739090447073,1.63,2.5,2.5,37.3,1.30860227262785,9447,0.0914028270368167,0.175597915521721,[0.09-0.18]
Leontopithecus_chrysomelas,Golden-headed lion tamarin,Cebidae,51,6,0.117647058823529,0,0,6,0.117647058823529,0.535,535,2.72835378202123,1.79,2,2,21.3,1.00419130810494,57374,0.0433930085414775,0.215122793216635,[0.04-0.22]
Leontopithecus_rosalia,Golden lion tamarin,Cebidae,90,11,0.122222222222222,6,0.0666666666666667,5,0.0555555555555556,0.6545,654.5,2.81590965088677,1.5,2,2,31.6,1.43408825146479,30588,0.0171152583148751,0.109702508271935,[0.02-0.11]
Macaca_fascicularis,Crab-eating macaque,Cercopithecidae,37,2,0.0540540540540541,2,0.0540540540540541,0,0,6.3625,6362.5,3.80362779534481,3.39,4.23,4.23,39,1.15152845211547,9541,0,0.0502538664118669,[0-0.05]
Macaca_fuscata,Japanese macaque,Cercopithecidae,43,4,0.0930232558139535,3,0.0697674418604651,1,0.0232558139534884,8.8825,8882.5,3.94853521616137,4.06,3.75,4.06,38.5,1.06729209546774,9542,4.43570255945288e-05,0.0873833907810398,[0-0.09]
Macaca_nigra,Sulawesi crested macaque,Cercopithecidae,36,1,0.0277777777777778,0,0,1,0.0277777777777778,7.965,7965,3.90118578013715,4.08,5,5,34,0.962167147008834,54600,5.49719720521614e-05,0.103582670720407,[0-0.1]
Macaca_silenus,Lion-tailed macaque,Cercopithecidae,68,6,0.0882352941176471,4,0.0588235294117647,2,0.0294117647058824,7.875,7875,3.89625056246164,3.92,3.88,3.92,40,1.13439513248979,54601,0.00232502360660842,0.0799697548438146,[0-0.08]
Mandrillus_sphinx,Mandrill,Cercopithecidae,45,4,0.0888888888888889,2,0.0444444444444444,2,0.0444444444444444,23,23000,4.36172783601759,3.25,6,6,40,0.92637995590969,9561,0.00363365295827201,0.119095070945758,[0-0.12]
Mico_argentatus,Silvery marmoset,Cebidae,20,1,0.05,1,0.05,0,0,0.3432,343.2,2.53554727917667,0.83,0.92,0.92,16.5,0.845982204823032,9482,0,0.0904764265378722,[0-0.09]
Microcebus_murinus,Grey mouse lemur,Cheirogaleidae,57,14,0.245614035087719,0,0,14,0.245614035087719,0.0648,64.8,1.81157500587059,0.67,0.67,0.67,18.2,1.27873169898261,30608,0.143143776921009,0.361679877334054,[0.14-0.36]
Nycticebus_coucang,Slow loris,Lorisidae,24,2,0.0833333333333333,0,0,2,0.0833333333333333,0.8905,890.5,2.94963392379926,0.49,1.5,1.5,25.8,1.10467522417975,9470,0.00744065839317517,0.215076015702136,[0.01-0.22]
Nycticebus_pygmaeus,Pygmy slow loris,Lorisidae,49,13,0.26530612244898,2,0.0408163265306122,11,0.224489795918367,0.419,419,2.6222140229663,0.75,1.58,1.58,19.3,0.952915909904387,101278,0.119255643021404,0.34681383843601,[0.12-0.35]
Pan_troglodytes,Chimpanzee,Hominidae,95,16,0.168421052631579,15,0.157894736842105,1,0.0105263157894737,44.9835,44983.5,4.65305324326393,9.25,8,9.25,68,1.38732294470649,9598,1.81049306972085e-05,0.0404125818906534,[0-0.04]
Papio_hamadryas,Hamadryas baboon,Cercopithecidae,103,5,0.0485436893203884,4,0.0388349514563107,1,0.00970873786407767,18,18000,4.25527250510331,4.15,4.83,4.83,37.5,0.909662901960252,9557,1.65884883229933e-05,0.0373254163720349,[0-0.04]
Propithecus_coquereli,Coquerel's sifaka,Indriidae,25,4,0.16,2,0.08,2,0.08,5,5000,3.69897000433602,3.5,3.5,3.5,30.6,0.945609474579486,379532,0.00708887477779123,0.207136510125643,[0.01-0.21]
Saguinus_bicolor,Pied tamarin,Cebidae,25,1,0.04,0,0,1,0.04,0.4958,495.8,2.6953065224318,1.5,2,2,19,0.908733184357901,37588,8.7486963786008e-05,0.146129731147202,[0-0.15]
Saguinus_imperator,Emperor tamarin,Cebidae,36,0,0,0,0,0,0,0.5185,518.5,2.71474876072506,1.5,2,2,23.7,1.12397473605413,9491,0,0.0516036429663788,[0-0.05]
Saguinus_midas,Red-handed tamarin,Cebidae,22,0,0,0,0,0,0,0.5538,553.8,2.74335295140956,1.67,1.5,1.67,21,0.983606310228776,30586,0,0.0826924701398397,[0-0.08]
Saguinus_oedipus,Tamarin monkey,Cebidae,134,23,0.171641791044776,13,0.0970149253731343,10,0.0746268656716418,0.445,445,2.64836001098093,1.5,1.51,1.51,26.2,1.27896001950455,9490,0.035700050278755,0.123505204502606,[0.04-0.12]
Saimiri_sciureus,Common squirrel monkey,Cebidae,116,9,0.0775862068965517,3,0.0258620689655172,6,0.0517241379310345,0.925,925,2.96614173273903,2.75,5,5,30.2,1.2838133125392,9521,0.0182684298487825,0.0974443430939944,[0.02-0.1]
Sapajus_apella,Tufted capuchin,Cebidae,26,3,0.115384615384615,3,0.115384615384615,0,0,2.85,2850,3.45484486000851,4.67,8,8,46,1.5808398403266,9515,0,0.070550756686437,[0-0.07]
Theropithecus_gelada,Gelada baboon,Cercopithecidae,52,1,0.0192307692307692,0,0,1,0.0192307692307692,16.2,16200,4.20951501454263,3.81,6,6,36,0.890840355072966,9565,3.54977155416648e-05,0.0727517084305247,[0-0.07]
Trachypithecus_auratus,Javan langur,Cercopithecidae,27,1,0.037037037037037,0,0,1,0.037037037037037,9.72,9720,3.98766626492627,3.5,NA,NA,31.1,0.847592654426344,222416,7.90619029304496e-05,0.135978776603369,[0-0.14]
Trachypithecus_cristatus,Silvery langur,Cercopithecidae,28,1,0.0357142857142857,1,0.0357142857142857,0,0,6.185,6185,3.79133970396514,4,3.5,4,28.3,0.840076721920615,122765,0,0.0657249073411732,[0-0.07]
Trachypithecus_francoisi,Francois' langur,Cercopithecidae,30,4,0.133333333333333,1,0.0333333333333333,3,0.1,7.325,7325,3.86480762902615,4,4.5,4,26.3,0.75614106723843,54180,0.0188084102849868,0.222956024272177,[0.02-0.22]
Varecia_rubra,Red ruffed lemur,Lemuridae,59,11,0.186440677966102,3,0.0508474576271187,8,0.135593220338983,3.601,3601,3.55642312137129,1.67,1.78,1.78,37.5,1.23299983114277,554167,0.0598859816677943,0.230361595890338,[0.06-0.23]
Varecia_variegata,Black-and-white ruffed lemur,Lemuridae,76,16,0.210526315789474,3,0.0394736842105263,13,0.171052631578947,3.482,3482,3.54182876678131,1.66,1.78,1.78,40,1.32357962703265,9455,0.0945779023525743,0.260856773652124,[0.09-0.26]
