"species","family","neoplasia_prevalence","taxa_mean","taxa_median","taxa_sd","taxa_q25","taxa_q75","value","g_mean","g_median","g_sd","g_q25","g_q75","outlier","extreme_outlier","global_label","taxa_outlier","extreme_taxa_outlier","taxa_label"
"Alouatta_caraya","Atelidae",0.125,0.187896405919662,0.136363636363636,0.0992613228195427,0.130681818181818,0.219344608879492,0.125,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","low_extreme"
"Ateles_fusciceps","Atelidae",0.136363636363636,0.187896405919662,0.136363636363636,0.0992613228195427,0.130681818181818,0.219344608879492,0.136363636363636,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Ateles_geoffroyi","Atelidae",0.302325581395349,0.187896405919662,0.136363636363636,0.0992613228195427,0.130681818181818,0.219344608879492,0.302325581395349,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Callimico_goeldii","Callitrichidae",0.217391304347826,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.217391304347826,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Callithrix_geoffroyi","Callitrichidae",0.0967741935483871,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.0967741935483871,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Callithrix_jacchus","Callitrichidae",0.024390243902439,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.024390243902439,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Cebuella_pygmaea","Callitrichidae",0.0975609756097561,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.0975609756097561,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Cercopithecus_neglectus","Cercopithecidae",0.0714285714285714,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0714285714285714,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Colobus_guereza","Cercopithecidae",0.103092783505155,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.103092783505155,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Eulemur_macaco","Lemuridae",0.3,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.3,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Galago_moholi","Galagidae",0.09375,0.0544507575757576,0.0544507575757576,0.0555775216273517,0.0348011363636364,0.0741003787878788,0.09375,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Galago_senegalensis","Galagidae",0.0151515151515152,0.0544507575757576,0.0544507575757576,0.0555775216273517,0.0348011363636364,0.0741003787878788,0.0151515151515152,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Gorilla_gorilla","Hominidae",0.208955223880597,0.188688138256088,0.188688138256088,0.0286619873599574,0.178554595443834,0.198821681068343,0.208955223880597,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Hylobates_lar","Hylobatidae",0.159090909090909,0.140151515151515,0.140151515151515,0.0267843477722178,0.130681818181818,0.149621212121212,0.159090909090909,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Lemur_catta","Lemuridae",0.155737704918033,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.155737704918033,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","low_extreme"
"Leontopithecus_chrysomelas","Callitrichidae",0.117647058823529,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.117647058823529,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Leontopithecus_rosalia","Callitrichidae",0.122222222222222,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.122222222222222,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Macaca_fascicularis","Cercopithecidae",0.0540540540540541,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0540540540540541,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Macaca_fuscata","Cercopithecidae",0.0930232558139535,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0930232558139535,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Macaca_nigra","Cercopithecidae",0.0277777777777778,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0277777777777778,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Macaca_silenus","Cercopithecidae",0.0882352941176471,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0882352941176471,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Macaca_sylvanus","Cercopithecidae",0.0113636363636364,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0113636363636364,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Mandrillus_sphinx","Cercopithecidae",0.0888888888888889,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0888888888888889,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Mico_argentatus","Callitrichidae",0.05,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.05,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Microcebus_murinus","Cheirogaleidae",0.245614035087719,0.245614035087719,0.245614035087719,NA,0.245614035087719,0.245614035087719,0.245614035087719,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","normal"
"Nycticebus_coucang","Lorisidae",0.0833333333333333,0.174319727891157,0.174319727891157,0.128674193175103,0.128826530612245,0.219812925170068,0.0833333333333333,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","low_extreme"
"Nycticebus_pygmaeus","Lorisidae",0.26530612244898,0.174319727891157,0.174319727891157,0.128674193175103,0.128826530612245,0.219812925170068,0.26530612244898,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Pan_troglodytes","Hominidae",0.168421052631579,0.188688138256088,0.188688138256088,0.0286619873599574,0.178554595443834,0.198821681068343,0.168421052631579,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","low_extreme"
"Papio_hamadryas","Cercopithecidae",0.0485436893203884,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0485436893203884,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","normal"
"Pithecia_pithecia","Pitheciidae",0,0.025,0.025,0.0353553390593274,0.0125,0.0375,0,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Plecturocebus_donacophilus","Pitheciidae",0.05,0.025,0.025,0.0353553390593274,0.0125,0.0375,0.05,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Propithecus_coquereli","Indriidae",0.16,0.16,0.16,NA,0.16,0.16,0.16,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","normal"
"Saguinus_bicolor","Callitrichidae",0.04,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.04,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","normal"
"Saguinus_imperator","Callitrichidae",0,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Saguinus_leucopus","Callitrichidae",0.1,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.1,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Saguinus_midas","Callitrichidae",0,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Saguinus_oedipus","Callitrichidae",0.171641791044776,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.171641791044776,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Saimiri_boliviensis","Cebidae",0.0508474576271187,0.0812727599694285,0.0775862068965517,0.0324261343367251,0.0642168322618352,0.0964854111405833,0.0508474576271187,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","low_extreme"
"Saimiri_sciureus","Cebidae",0.0775862068965517,0.0812727599694285,0.0775862068965517,0.0324261343367251,0.0642168322618352,0.0964854111405833,0.0775862068965517,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Sapajus_apella","Cebidae",0.115384615384615,0.0812727599694285,0.0775862068965517,0.0324261343367251,0.0642168322618352,0.0964854111405833,0.115384615384615,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Symphalangus_syndactylus","Hylobatidae",0.121212121212121,0.140151515151515,0.140151515151515,0.0267843477722178,0.130681818181818,0.149621212121212,0.121212121212121,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","low_extreme"
"Theropithecus_gelada","Cercopithecidae",0.0192307692307692,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0192307692307692,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Trachypithecus_auratus","Cercopithecidae",0.037037037037037,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.037037037037037,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","normal"
"Trachypithecus_cristatus","Cercopithecidae",0.0357142857142857,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0357142857142857,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","normal"
"Trachypithecus_francoisi","Cercopithecidae",0.133333333333333,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.133333333333333,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Varecia_rubra","Lemuridae",0.186440677966102,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.186440677966102,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","normal"
"Varecia_variegata","Lemuridae",0.210526315789474,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.210526315789474,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","normal"
